,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
75,88,[gte-small](https://huggingface.co/thenlper/gte-small),⚠️ NA,64,33M,384,512,44.1,38.02,23.94,47.28,40.28,-1.57,16.27,71.44,45.77,35.99,62.77
60,97,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),⚠️ NA,87,22M,384,512,43.54,37.07,22.85,48.44,37.56,-2.22,15.63,71.53,44.07,34.42,61.32
61,100,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),96%,87,22M,384,512,42.7,36.47,22.75,46.49,38.34,-1.94,15.05,71.31,41.45,33.3,61.52
235,72,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),⚠️ NA,127,33M,384,512,44.9,38.16,23.12,49.21,40.87,-2.53,16.9,71.73,43.59,37.81,62.7
236,76,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),96%,127,33M,384,512,44.21,37.8,23.36,47.57,40.47,-2.75,16.79,71.54,43.25,37.22,62.71
237,82,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100%,127,33M,384,512,44.47,37.97,28.04,48.07,37.53,-2.85,15.14,72.13,44.44,39.38,59.87
238,86,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),99%,127,33M,512,512,43.76,37.72,23.63,47.37,39.93,-1.86,17.01,71.56,45.89,36.26,59.73
239,92,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),97%,127,33M,384,512,43.34,37.27,22.96,47.34,40.23,-1.68,16.74,71.33,45.01,35.16,58.33
240,94,[e5-small](https://huggingface.co/intfloat/e5-small),100%,127,33M,384,512,43.46,37.18,28.07,46.57,36.3,-1.45,15.22,72.96,39.3,36.25,61.37
191,52,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),96%,204,107M,384,512,51.81,45.47,54.08,52.57,40.38,-2.96,17.33,75.29,58.48,48.08,65.98
188,81,[gte-base](https://huggingface.co/thenlper/gte-base),⚠️ NA,209,109M,768,512,44.4,38.32,25.3,47.19,41.45,-2.45,16.15,71.37,46.94,35.86,63.09
176,93,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),96%,238,125M,768,512,44.04,38.09,26.56,46.98,40.38,-1.29,16.84,70.97,45.99,39.26,57.08
137,75,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),99%,390,109M,768,512,44.52,38.14,23.67,47.99,41.41,-3.98,16.37,71.69,47.57,38.61,59.97
131,84,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),99%,413,108M,1024,Unknown,47.24,41.38,50.62,48.6,30.67,-1.24,14.74,74.34,49.45,41.21,64.02
122,59,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100%,418,109M,768,512,45.98,39.33,30.95,49.46,40.1,-3.94,16.06,72.63,47.5,40.49,60.73
